2024-05-07 17:13:15,565 INFO    MainThread:32680 [wandb_setup.py:_flush():76] Current SDK version is 0.16.6
2024-05-07 17:13:15,566 INFO    MainThread:32680 [wandb_setup.py:_flush():76] Configure stats pid to 32680
2024-05-07 17:13:15,566 INFO    MainThread:32680 [wandb_setup.py:_flush():76] Loading settings from /home/rafa/.config/wandb/settings
2024-05-07 17:13:15,566 INFO    MainThread:32680 [wandb_setup.py:_flush():76] Loading settings from /home/rafa/fs_learning/wandb/settings
2024-05-07 17:13:15,566 INFO    MainThread:32680 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-05-07 17:13:15,566 INFO    MainThread:32680 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-05-07 17:13:15,566 INFO    MainThread:32680 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': '/home/rafa/fs_learning/main.py', 'program': '/home/rafa/fs_learning/main.py'}
2024-05-07 17:13:15,566 INFO    MainThread:32680 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-05-07 17:13:15,566 INFO    MainThread:32680 [wandb_init.py:_log_setup():521] Logging user logs to /home/rafa/fs_learning/wandb/run-20240507_171315-r1pi9eb7/logs/debug.log
2024-05-07 17:13:15,566 INFO    MainThread:32680 [wandb_init.py:_log_setup():522] Logging internal logs to /home/rafa/fs_learning/wandb/run-20240507_171315-r1pi9eb7/logs/debug-internal.log
2024-05-07 17:13:15,566 INFO    MainThread:32680 [wandb_init.py:init():561] calling init triggers
2024-05-07 17:13:15,567 INFO    MainThread:32680 [wandb_init.py:init():568] wandb.init called with sweep_config: {}
config: {}
2024-05-07 17:13:15,567 INFO    MainThread:32680 [wandb_init.py:init():611] starting backend
2024-05-07 17:13:15,567 INFO    MainThread:32680 [wandb_init.py:init():615] setting up manager
2024-05-07 17:13:15,576 INFO    MainThread:32680 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-05-07 17:13:15,578 INFO    MainThread:32680 [wandb_init.py:init():623] backend started and connected
2024-05-07 17:13:15,600 INFO    MainThread:32680 [wandb_init.py:init():715] updated telemetry
2024-05-07 17:13:15,624 INFO    MainThread:32680 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2024-05-07 17:13:16,089 INFO    MainThread:32680 [wandb_run.py:_on_init():2357] communicating current version
2024-05-07 17:13:16,197 INFO    MainThread:32680 [wandb_run.py:_on_init():2366] got version response 
2024-05-07 17:13:16,199 INFO    MainThread:32680 [wandb_init.py:init():799] starting run threads in backend
2024-05-07 17:13:17,040 INFO    MainThread:32680 [wandb_run.py:_console_start():2335] atexit reg
2024-05-07 17:13:17,040 INFO    MainThread:32680 [wandb_run.py:_redirect():2190] redirect: wrap_raw
2024-05-07 17:13:17,041 INFO    MainThread:32680 [wandb_run.py:_redirect():2255] Wrapping output streams.
2024-05-07 17:13:17,041 INFO    MainThread:32680 [wandb_run.py:_redirect():2280] Redirects installed.
2024-05-07 17:13:17,043 INFO    MainThread:32680 [wandb_init.py:init():842] run started, returning control to user process
